match_id,date,team_1,team_2,venue,substitute_player,event,player_out,dismissal_kind
1359477,2023-04-01,Lucknow Super Giants,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",PN Mankad,substitute fielder,AR Patel,caught
1359482,2023-04-05,Punjab Kings,Rajasthan Royals,"Barsapara Cricket Stadium, Guwahati",MW Short,substitute fielder,YBK Jaiswal,caught
1359487,2023-04-09,Gujarat Titans,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",AS Roy,substitute fielder,B Sai Sudharsan,caught
1359487,2023-04-09,Gujarat Titans,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",KS Bharat,substitute fielder,AD Russell,caught
1359487,2023-04-09,Gujarat Titans,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",J Yadav,substitute fielder,SP Narine,caught
1359493,2023-04-14,Sunrisers Hyderabad,Kolkata Knight Riders,"Eden Gardens, Kolkata",GD Phillips,substitute fielder,N Jagadeesan,caught
1359495,2023-04-15,Lucknow Super Giants,Punjab Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",NT Ellis,substitute fielder,KL Rahul,caught
1359495,2023-04-15,Lucknow Super Giants,Punjab Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",PN Mankad,substitute fielder,Harpreet Singh,caught
1359496,2023-04-16,Kolkata Knight Riders,Mumbai Indians,"Wankhede Stadium, Mumbai",Ramandeep Singh,substitute fielder,N Rana,caught
1359498,2023-04-17,Chennai Super Kings,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",SS Prabhudessai,substitute fielder,RA Jadeja,caught
1359502,2023-04-20,Kolkata Knight Riders,Delhi Capitals,"Arun Jaitley Stadium, Delhi",YV Dhull,substitute fielder,CV Varun,run out
1359502,2023-04-20,Kolkata Knight Riders,Delhi Capitals,"Arun Jaitley Stadium, Delhi",D Wiese,substitute fielder,MR Marsh,caught
1359510,2023-04-26,Kolkata Knight Riders,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",AS Roy,substitute fielder,SS Prabhudessai,run out
1359512,2023-04-28,Lucknow Super Giants,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",DR Sams,substitute fielder,P Simran Singh,caught
1359515,2023-04-30,Chennai Super Kings,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai",SK Rasheed,substitute fielder,JM Sharma,caught
1359516,2023-04-30,Rajasthan Royals,Mumbai Indians,"Wankhede Stadium, Mumbai",Ramandeep Singh,substitute fielder,JC Buttler,caught
1359517,2023-05-01,Royal Challengers Bangalore,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Sonu Yadav,substitute fielder,K Gowtham,run out
1359525,2023-05-07,Gujarat Titans,Lucknow Super Giants,"Narendra Modi Stadium, Ahmedabad",PN Mankad,substitute fielder,WP Saha,caught
1359528,2023-05-09,Royal Challengers Bangalore,Mumbai Indians,"Wankhede Stadium, Mumbai",Vishnu Vinod,substitute fielder,F du Plessis,caught
1359536,2023-05-15,Gujarat Titans,Sunrisers Hyderabad,"Narendra Modi Stadium, Ahmedabad",Shivam Mavi,substitute fielder,Abdul Samad,caught
1359537,2023-05-16,Lucknow Super Giants,Mumbai Indians,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",K Gowtham,substitute fielder,N Wadhera,caught
1359540,2023-05-19,Punjab Kings,Rajasthan Royals,"Himachal Pradesh Cricket Association Stadium, Dharamsala",D Ferreira,substitute fielder,JM Sharma,caught
1359540,2023-05-19,Punjab Kings,Rajasthan Royals,"Himachal Pradesh Cricket Association Stadium, Dharamsala",R Dhawan,substitute fielder,SV Samson,caught
1359543,2023-05-21,Sunrisers Hyderabad,Mumbai Indians,"Wankhede Stadium, Mumbai",Ramandeep Singh,substitute fielder,Vivrant Sharma,caught
1359544,2023-05-21,Royal Challengers Bangalore,Gujarat Titans,"M Chinnaswamy Stadium, Bengaluru",SS Prabhudessai,substitute fielder,MD Shanaka,caught
